일자,(군산)영암F1태양광,영암에프원태양광b
2023-01-01,40588.8,40588.8
2023-01-02,57024.0,57024.0
2023-01-03,48672.0,48672.0
2023-01-04,40742.4,40742.4
2023-01-05,23913.600000000002,23913.600000000002
2023-01-06,39072.0,39072.0
2023-01-07,38198.4,38198.4
2023-01-08,44352.0,44352.0
2023-01-09,26428.8,26428.8
2023-01-10,53836.799999999996,53836.799999999996
2023-01-11,49392.0,49392.0
2023-01-12,36480.0,36480.0
2023-01-13,9225.6,9225.6
2023-01-14,7200.0,7200.0
2023-01-15,6508.8,6508.8
2023-01-16,29539.2,29539.2
2023-01-17,52905.6,52905.6
2023-01-18,42105.6,42105.6
2023-01-19,49584.0,49584.0
2023-01-20,42883.2,42883.2
2023-01-21,63148.8,63148.8
2023-01-22,11088.0,11088.0
2023-01-23,49046.4,49046.4
2023-01-24,5097.6,5097.6
2023-01-25,38572.8,38572.8
2023-01-26,13420.8,13420.8
2023-01-27,22137.6,22137.6
2023-01-28,40348.8,40348.8
2023-01-29,58387.2,58387.2
2023-01-30,65020.799999999996,65020.799999999996
2023-01-31,59548.8,59548.8
2023-02-01,38976.0,38976.0
2023-02-02,53971.2,53971.2
2023-02-03,60153.6,60153.6
2023-02-04,60998.4,60998.4
2023-02-05,66768.0,66768.0
2023-02-06,40300.8,40300.8
2023-02-07,60422.4,60422.4
2023-02-08,63254.4,63254.4
2023-02-09,19718.4,19718.4
2023-02-10,48201.6,48201.6
2023-02-11,21820.8,21820.8
2023-02-12,18028.8,18028.8
2023-02-13,35174.4,35174.4
2023-02-14,69206.4,69206.4
2023-02-15,19478.4,19478.4
2023-02-16,36038.4,36038.4
2023-02-17,22070.4,22070.4
2023-02-18,5241.6,5241.6
2023-02-19,30470.4,30470.4
2023-02-20,66220.8,66220.8
2023-02-21,75168.0,75168.0
2023-02-22,55872.0,55872.0
2023-02-23,70012.8,70012.8
2023-02-24,63734.4,63734.4
2023-02-25,78422.40000000001,78422.40000000001
2023-02-26,79392.0,79392.0
2023-02-27,76176.0,76176.0
2023-02-28,72931.2,72931.2
2023-03-01,44236.799999999996,44236.799999999996
2023-03-02,80995.2,80995.2
2023-03-03,72681.6,72681.6
2023-03-04,60508.799999999996,60508.799999999996
2023-03-05,67862.4,67862.4
2023-03-06,71193.6,71193.6
2023-03-07,60211.200000000004,60211.200000000004
2023-03-08,61104.0,61104.0
2023-03-09,52694.4,52694.4
2023-03-10,60220.8,60220.8
2023-03-11,52464.0,52464.0
2023-03-12,10454.4,10454.4
2023-03-13,81993.6,81993.6
2023-03-14,79948.8,79948.8
2023-03-15,67516.8,67516.8
2023-03-16,76204.8,76204.8
2023-03-17,15465.6,15465.6
2023-03-18,75926.4,75926.4
2023-03-19,73507.2,73507.2
2023-03-20,66460.8,66460.8
2023-03-21,38716.8,38716.8
2023-03-22,17779.2,17779.2
2023-03-23,28185.6,28185.6
2023-03-24,20131.2,20131.2
2023-03-25,20716.8,20716.8
2023-03-26,74985.6,74985.6
2023-03-27,83788.8,83788.8
2023-03-28,57888.0,57888.0
2023-03-29,78182.4,78182.4
2023-03-30,55238.4,55238.4
2023-03-31,78249.59999999999,78249.59999999999
2023-04-01,71059.2,71059.2
2023-04-02,75177.6,75177.6
2023-04-03,78835.2,78835.2
2023-04-04,22243.2,22243.2
2023-04-05,5904.0,5904.0
2023-04-06,9907.2,9907.2
2023-04-07,60528.0,60528.0
2023-04-08,0.0,0.0
2023-04-09,0.0,0.0
2023-04-10,72979.2,72979.2
2023-04-11,33667.2,33667.2
2023-04-12,84268.8,84268.8
2023-04-13,76636.8,76636.8
2023-04-14,15801.6,15801.6
2023-04-15,0.0,0.0
2023-04-16,0.0,0.0
2023-04-17,70521.6,70521.6
2023-04-18,14419.199999999999,14419.199999999999
2023-04-19,44006.4,44006.4
2023-04-20,77635.20000000001,77635.20000000001
2023-04-21,62697.6,62697.6
2023-04-22,0.0,0.0
2023-04-23,0.0,0.0
2023-04-24,25776.0,25776.0
2023-04-25,10022.4,10022.4
2023-04-26,80400.0,80400.0
2023-04-27,85449.6,85449.6
2023-04-28,46761.6,46761.6
2023-04-29,0.0,0.0
2023-04-30,0.0,0.0
2023-05-01,0.0,0.0
2023-05-02,70800.0,70800.0
2023-05-03,26620.8,26620.8
2023-05-04,3916.8,3916.8
2023-05-05,0.0,0.0
2023-05-06,0.0,0.0
2023-05-07,0.0,0.0
2023-05-08,51004.799999999996,51004.799999999996
2023-05-09,85372.8,85372.8
2023-05-10,84086.40000000001,84086.40000000001
2023-05-11,69657.6,69657.6
2023-05-12,48518.4,48518.4
2023-05-13,0.0,0.0
2023-05-14,0.0,0.0
2023-05-15,52022.4,52022.4
2023-05-16,80505.6,80505.6
2023-05-17,73900.8,73900.8
2023-05-18,19008.0,19008.0
2023-05-19,70377.6,70377.6
2023-05-20,0.0,0.0
2023-05-21,0.0,0.0
2023-05-22,26179.2,26179.2
2023-05-23,83203.2,83203.2
2023-05-24,54432.0,54432.0
2023-05-25,74976.0,74976.0
2023-05-26,42835.2,42835.2
2023-05-27,0.0,0.0
2023-05-28,0.0,0.0
2023-05-29,0.0,0.0
2023-05-30,13257.6,13257.6
2023-05-31,75811.2,75811.2
2023-06-01,17088.0,17088.0
2023-06-02,77577.6,77577.6
2023-06-03,82627.2,82627.2
2023-06-04,56150.4,56150.4
2023-06-05,38025.6,38025.6
2023-06-06,74630.4,74630.4
2023-06-07,73593.59999999999,73593.59999999999
2023-06-08,71356.8,71356.8
2023-06-09,72480.0,72480.0
2023-06-10,64608.0,64608.0
2023-06-11,63129.6,63129.6
2023-06-12,68659.2,68659.2
2023-06-13,73747.2,73747.2
2023-06-14,75398.4,75398.4
2023-06-15,81014.4,81014.4
2023-06-16,75561.6,75561.6
2023-06-17,65520.0,65520.0
2023-06-18,66028.8,66028.8
2023-06-19,71270.4,71270.4
2023-06-20,29059.2,29059.2
2023-06-21,17971.2,17971.2
2023-06-22,78019.2,78019.2
2023-06-23,68582.4,68582.4
2023-06-24,63024.0,63024.0
2023-06-25,23856.0,23856.0
2023-06-26,8380.8,8380.8
2023-06-27,39600.0,39600.0
2023-06-28,9417.6,9417.6
2023-06-29,9984.0,9984.0
2023-06-30,17616.0,17616.0
